来,人,come,"ライ、く-る、きた-る、きた-す rai, ku-ru, kita-ru, kita-su",7
里,里,village,"リ、さと ri, sato",7
理,玉,reason,リ ri,11
話,言,talk,"ワ、はな-す、はなし wa, hana-su, hanashi",13
悪,心,bad,"アク、オ、わる-い aku, o, waru-i",11
安,宀,cheap,"アン、やす-い an, yasu-i",6
暗,日,dark,"アン、くら-い an, kura-i",13
医,酉,medicine,イ i,7
委,女,committee,"イ、ゆだ-ねる i, yuda-neru",8
意,心,idea,イ i,13
育,肉,nurture,"イク、そだ-つ、そだ-てる、はぐく-む iku, soda-tsu, soda-teru, haguku-mu",8
員,口,member,イン in,10
院,阜,institution,イン in,10
飲,食,drink,"イン、の-む in, no-mu",12
運,辵,carry,"ウン、はこ-ぶ un, hako-bu",12
泳,水,swim,"エイ、およ-ぐ ei, oyo-gu",8
駅,馬,station,エキ eki,14
央,大,center,オウ ō,5
横,木,side,"オウ、よこ ō, yoko",15
屋,尸,roof,"オク、や oku, ya",9
温,水,warm,"オン、あたた-か、あたた-かい、あたた-まる、あたた-める on, atata-ka, atata-kai, atata-maru, atata-meru",12
化,匕,change,"カ、ケ、ば-ける、ば-かす ka, ke, ba-keru, ba-kasu",4
荷,艸,luggage,"カ、に ka, ni",10
界,田,world,カイ kai,9
開,門,open,"カイ、ひら-く、ひら-ける、あ-く、あ-ける kai, hira-ku, hira-keru, a-ku, a-keru",12
階,阜,floor of a building,カイ kai,12
寒,宀,cold,"カン、さむ-い kan, samu-i",12
感,心,feeling,カン kan,13
漢,水,China,カン kan,13
館,食,public building,"カン、やかた kan, yakata",16
岸,山,beach,"ガン、きし gan, kishi",8
起,走,wake up,"キ、お-きる、お-こる、お-こす ki, o-kiru, o-koru, o-kosu",10
期,月,period of time,"キ、（ゴ） ki, (go)",12
客,宀,guest,"キャク、カク kyaku, kaku",9
究,穴,research,"キュウ、きわ-める kyū, kiwa-meru",7
急,心,hurry,"キュウ、いそ-ぐ kyū, iso-gu",9
級,糸,rank,キュウ kyū,9
宮,宀,Shinto shrine,"キュウ、グウ、（ク）、みや kyū, gū, (ku), miya",10
球,玉,sphere,"キュウ、たま kyū, tama",11
去,厶,leave,"キョ、コ、さ-る kyo, ko, sa-ru",5
橋,木,bridge,"キョウ、はし kyō, hashi",16
業,木,business,"ギョウ、ゴウ、わざ gyō, gō, waza",13
曲,曰,musical composition,"キョク、ま-がる、ま-げる kyoku, ma-garu, ma-geru",6
局,尸,office,キョク kyoku,7
銀,金,silver,ギン gin,14
区,匸,ward,ク ku,4
苦,艸,suffer,"ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る ku, kuru-shii, kuru-shimu, kuru-shimeru, niga-i, niga-ru",8
具,八,tool,グ gu,8
君,口,you,"クン、きみ kun, kimi",7
係,人,person in charge,"ケイ、かか-る、かかり kei, kaka-ru, kakari",9
軽,車,light,"ケイ、かる-い、かろ-やか kei, karu-i, karo-yaka",12
血,血,blood,"ケツ、ち ketsu, chi",6
決,水,decide,"ケツ、き-める、き-まる ketsu, ki-meru, ki-maru",7
研,石,sharpen,"ケン、と-ぐ ken, to-gu",9
県,糸,prefecture,ケン ken,9
庫,广,warehouse,"コ、（ク） ko, (ku)",10
